"","LightFact","code","TypeFact","light_type","light_colour","light_mode","trial_number","light_order","light_side","type_order","n","control_light"
"1","off","light_interaction","off","continuous","amber","off","2","4","left","1",2,"light"
"2","off","light_interaction","off","continuous","amber","off","4","1","right","1",1,"light"
"3","off","light_interaction","off","continuous","amber","off","6","2","left","1",4,"light"
"4","off","light_interaction","off","continuous","amber","off","7","1","left","1",2,"light"
"5","off","light_interaction","off","continuous","amber","off","15","3","left","2",1,"light"
"6","off","light_interaction","off","continuous","amber","off","17","1","left","2",1,"light"
"7","off","light_interaction","off","continuous","amber","off","34","4","right","2",2,"light"
"8","off","light_interaction","off","continuous","blue","off","1","5","right","1",1,"light"
"9","off","light_interaction","off","continuous","blue","off","4","6","left","1",1,"light"
"10","off","light_interaction","off","continuous","blue","off","14","3","right","2",3,"light"
"11","off","light_interaction","off","continuous","blue","off","29","4","right","1",1,"light"
"12","off","light_interaction","off","continuous","blue","off","34","6","right","2",1,"light"
"13","off","light_interaction","off","continuous","green","off","1","4","left","1",1,"light"
"14","off","light_interaction","off","continuous","green","off","2","1","right","1",2,"light"
"15","off","light_interaction","off","continuous","green","off","3","1","right","1",1,"light"
"16","off","light_interaction","off","continuous","green","off","6","1","right","1",1,"light"
"17","off","light_interaction","off","continuous","green","off","14","4","left","2",2,"light"
"18","off","light_interaction","off","continuous","green","off","21","6","right","1",1,"light"
"19","off","light_interaction","off","continuous","red","off","1","3","right","1",1,"light"
"20","off","light_interaction","off","continuous","red","off","4","4","left","1",1,"light"
"21","off","light_interaction","off","continuous","red","off","24","2","left","1",1,"light"
"22","off","light_interaction","off","continuous","red","off","28","1","right","1",1,"light"
"23","off","light_interaction","off","continuous","red","off","32","4","right","2",1,"light"
"24","off","light_interaction","off","continuous","royalblue","off","6","5","right","1",1,"light"
"25","off","light_interaction","off","continuous","royalblue","off","17","5","left","2",2,"light"
"26","off","light_interaction","off","continuous","royalblue","off","20","3","right","1",2,"light"
"27","off","light_interaction","off","continuous","royalblue","off","26","1","right","1",1,"light"
"28","off","light_interaction","off","continuous","royalblue","off","28","6","left","1",1,"light"
"29","off","light_interaction","off","continuous","royalblue","off","31","2","left","2",1,"light"
"30","off","light_interaction","off","continuous","royalblue","off","32","1","left","2",1,"light"
"31","off","light_interaction","off","continuous","royalblue","off","34","2","right","2",1,"light"
"32","off","light_interaction","off","continuous","white","off","1","1","right","1",1,"light"
