"","time","code","class","light_order","light_colour","light_type","type_order","light_side","control_side","trial_number","light_mode"
"1",15.299,"stationary_control",4,5,"amber","continuous",2,"right","left",3,"off"
"3",281.417,"stationary_light",2,2,"blue","continuous",2,"left","right",3,"off"
"4",15.399,"stationary_light",2,4,"green","continuous",2,"left","right",3,"off"
"6",57.306,"stationary_light",2,1,"red","continuous",2,"right","left",3,"off"
"7",290.172,"stationary_light_stop",6,1,"red","continuous",2,"right","left",3,"off"
"8",15.599,"stationary_light",2,6,"royalblue","continuous",2,"left","right",3,"off"
"9",15.434,"stationary_control",4,3,"white","continuous",2,"right","left",3,"off"
"10",15.533,"stationary_control",4,5,"amber","flashing",1,"right","left",3,"off"
"18",250.066,"stationary_light",2,4,"green","flashing",1,"left","right",3,"off"
"19",31.232,"stationary_control",4,1,"red","flashing",1,"right","left",3,"off"
"20",41.136,"stationary_control_stop",8,1,"red","flashing",1,"right","left",3,"off"
"21",72.474,"stationary_control",4,1,"red","flashing",1,"right","left",3,"off"
"22",175.403,"stationary_control_stop",8,1,"red","flashing",1,"right","left",3,"off"
"26",292.385,"stationary_control",4,1,"red","flashing",1,"right","left",3,"off"
"27",15,"stationary_light",2,6,"royalblue","flashing",1,"left","right",3,"off"
"28",48.735,"stationary_light_stop",6,6,"royalblue","flashing",1,"left","right",3,"off"
"31",187.584,"stationary_control",4,6,"royalblue","flashing",1,"left","right",3,"off"
"33",83.134,"stationary_control",4,3,"white","flashing",1,"right","left",3,"off"
"34",84.766,"stationary_control_stop",8,3,"white","flashing",1,"right","left",3,"off"
"35",113.136,"stationary_light",2,3,"white","flashing",1,"right","left",3,"off"
"36",129.968,"stationary_light_stop",6,3,"white","flashing",1,"right","left",3,"off"
"38",15.434,"stationary_light",2,5,"amber","continuous",2,"right","left",5,"off"
"39",115.466,"stationary_light_stop",6,5,"amber","continuous",2,"right","left",5,"off"
"40",170.945,"stationary_light",2,5,"amber","continuous",2,"right","left",5,"off"
"41",182.104,"stationary_light_stop",6,5,"amber","continuous",2,"right","left",5,"off"
"45",15.533,"stationary_control",4,1,"blue","continuous",2,"right","left",5,"off"
"46",15.3,"stationary_light",2,4,"green","continuous",2,"left","right",5,"off"
"47",186.599,"stationary_light_stop",6,4,"green","continuous",2,"left","right",5,"off"
"48",217,"stationary_light",2,4,"green","continuous",2,"left","right",5,"off"
"49",15.333,"stationary_light",2,6,"red","continuous",2,"left","right",5,"off"
"50",96.6,"stationary_light_stop",6,6,"red","continuous",2,"left","right",5,"off"
"51",136.4,"stationary_light",2,6,"red","continuous",2,"left","right",5,"off"
"52",141.333,"stationary_light_stop",6,6,"red","continuous",2,"left","right",5,"off"
"54",250.099,"stationary_light",2,6,"red","continuous",2,"left","right",5,"off"
"55",15.499,"stationary_control",4,3,"royalblue","continuous",2,"right","left",5,"off"
"56",110.467,"stationary_control_stop",8,3,"royalblue","continuous",2,"right","left",5,"off"
"58",148.067,"stationary_control",4,3,"royalblue","continuous",2,"right","left",5,"off"
"59",152.467,"stationary_control_stop",8,3,"royalblue","continuous",2,"right","left",5,"off"
"62",275.999,"stationary_control",4,3,"royalblue","continuous",2,"right","left",5,"off"
