wavelength,species,dl,sensitivity,photoreceptor
300,catshark,dark,0.132189818,rod
301,catshark,dark,0.135997661,rod
302,catshark,dark,0.13983139,rod
303,catshark,dark,0.143687121,rod
304,catshark,dark,0.147560825,rod
305,catshark,dark,0.151448339,rod
306,catshark,dark,0.15534537,rod
307,catshark,dark,0.159247503,rod
308,catshark,dark,0.163150211,rod
309,catshark,dark,0.167048863,rod
310,catshark,dark,0.170938732,rod
311,catshark,dark,0.174815005,rod
312,catshark,dark,0.178672797,rod
313,catshark,dark,0.182507157,rod
314,catshark,dark,0.186313082,rod
315,catshark,dark,0.190085528,rod
316,catshark,dark,0.193819424,rod
317,catshark,dark,0.19750968,rod
318,catshark,dark,0.201151208,rod
319,catshark,dark,0.204738926,rod
320,catshark,dark,0.208267779,rod
321,catshark,dark,0.211732748,rod
322,catshark,dark,0.215128866,rod
323,catshark,dark,0.218451233,rod
324,catshark,dark,0.221695027,rod
325,catshark,dark,0.224855522,rod
326,catshark,dark,0.227928098,rod
327,catshark,dark,0.23090826,rod
328,catshark,dark,0.233791647,rod
329,catshark,dark,0.236574049,rod
330,catshark,dark,0.239251421,rod
331,catshark,dark,0.241819895,rod
332,catshark,dark,0.244275791,rod
333,catshark,dark,0.246615635,rod
334,catshark,dark,0.248836167,rod
335,catshark,dark,0.250934355,rod
336,catshark,dark,0.252907403,rod
337,catshark,dark,0.254752769,rod
338,catshark,dark,0.256468166,rod
339,catshark,dark,0.258051581,rod
340,catshark,dark,0.259501274,rod
341,catshark,dark,0.260815798,rod
342,catshark,dark,0.261993995,rod
343,catshark,dark,0.263035011,rod
344,catshark,dark,0.2639383,rod
345,catshark,dark,0.264703625,rod
346,catshark,dark,0.265331071,rod
347,catshark,dark,0.26582104,rod
348,catshark,dark,0.266174261,rod
349,catshark,dark,0.266391786,rod
350,catshark,dark,0.266474996,rod
351,catshark,dark,0.266425598,rod
352,catshark,dark,0.266245627,rod
353,catshark,dark,0.265937443,rod
354,catshark,dark,0.265503729,rod
355,catshark,dark,0.264947489,rod
356,catshark,dark,0.264272043,rod
357,catshark,dark,0.263481023,rod
358,catshark,dark,0.262578367,rod
359,catshark,dark,0.261568315,rod
360,catshark,dark,0.260455399,rod
361,catshark,dark,0.259244439,rod
362,catshark,dark,0.257940529,rod
363,catshark,dark,0.256549037,rod
364,catshark,dark,0.255075587,rod
365,catshark,dark,0.253526055,rod
366,catshark,dark,0.251906554,rod
367,catshark,dark,0.250223426,rod
368,catshark,dark,0.248483232,rod
369,catshark,dark,0.246692734,rod
370,catshark,dark,0.244858891,rod
371,catshark,dark,0.242988838,rod
372,catshark,dark,0.241089881,rod
373,catshark,dark,0.239169477,rod
374,catshark,dark,0.237235229,rod
