,time,code,class,light_order,light_colour,light_type,type_order,light_side,control_side,trial_number,length,light_mode,control_light,sum(total2),LightFact,TypeFact
1,15.299,stationary_control,4,5,amber,continuous,2,right,left,3,37.724,off,control,300,off,off
2,15.399,stationary_light,2,4,green,continuous,2,left,right,3,37.724,off,light,300,off,off
3,15.599,stationary_light,2,6,royalblue,continuous,2,left,right,3,37.724,off,light,300,off,off
4,15.434,stationary_control,4,3,white,continuous,2,right,left,3,37.724,off,control,300,off,off
5,15.533,stationary_control,4,5,amber,flashing,1,right,left,3,37.724,off,control,300,off,off
6,15.199,stationary_light,5,4,amber,continuous,1,right,left,8,29.779,off,light,300,off,off
7,15.1,stationary_light,2,3,blue,continuous,1,left,right,8,29.779,off,light,300,off,off
8,15.467,stationary_control,4,6,red,continuous,1,right,left,8,29.779,off,control,300,off,off
9,15.167,stationary_light,2,5,white,continuous,1,left,right,8,29.779,off,light,300,off,off
10,15,stationary_light,5,3,amber,flashing,2,left,right,8,29.779,off,light,300,off,off
11,15,stationary_control,5,4,blue,flashing,2,right,left,8,29.779,off,control,300,off,off
12,15,stationary_light,5,5,green,flashing,2,left,right,8,29.779,off,light,300,off,off
13,15,stationary_light,5,1,red,flashing,2,left,right,8,29.779,off,light,300,off,off
14,15,stationary_control,5,6,royalblue,flashing,2,right,left,8,29.779,off,control,300,off,off
15,15,stationary_control,5,2,white,flashing,2,right,left,8,29.779,off,control,300,off,off
16,15,stationary_light,4,5,amber,continuous,1,left,right,10,40.651,off,light,300,off,off
17,15,stationary_light,4,3,red,continuous,1,left,right,10,40.651,off,light,300,off,off
18,15,stationary_control,4,4,royalblue,continuous,1,right,left,10,40.651,off,control,300,off,off
19,15,stationary_control,4,6,white,continuous,1,right,left,10,40.651,off,control,300,off,off
20,15.267,stationary_light,4,3,amber,flashing,2,left,right,10,40.651,off,light,300,off,off
21,15.267,stationary_light,4,5,blue,flashing,2,left,right,10,40.651,off,light,300,off,off
22,15.267,stationary_control,4,5,royalblue,flashing,2,right,left,10,40.651,off,control,300,off,off
23,15.267,stationary_control,4,4,white,flashing,2,right,left,10,40.651,off,control,300,off,off
24,15.434,stationary_control,4,2,green,continuous,1,left,right,13,32.721,off,control,300,off,off
25,15,stationary_control,4,5,amber,flashing,2,right,left,13,32.721,off,control,300,off,off
26,15,stationary_light,4,4,green,flashing,2,left,right,13,32.721,off,light,300,off,off
27,15,stationary_control,4,3,royalblue,flashing,2,right,left,13,32.721,off,control,300,off,off
28,15,stationary_light,4,6,white,flashing,2,left,right,13,32.721,off,light,300,off,off
29,600.54,END,0,5,amber,continuous,2,right,left,3,37.724,on,control,300,amber,continuous
30,600.234,END,0,4,green,continuous,2,left,right,3,37.724,on,light,300,green,continuous
31,600.467,END,0,6,royalblue,continuous,2,left,right,3,37.724,on,light,300,royalblue,continuous
32,600.405,END,0,3,white,continuous,2,right,left,3,37.724,on,control,300,white,continuous
33,599.933,END,0,5,amber,flashing,1,right,left,3,37.724,on,control,300,amber,flashing
34,599.834,END,0,4,amber,continuous,1,right,left,8,29.779,on,light,300,amber,continuous
35,600,END,0,3,blue,continuous,1,left,right,8,29.779,on,light,300,blue,continuous
36,600.3,END,0,6,red,continuous,1,right,left,8,29.779,on,control,300,red,continuous
37,600.339,END,0,5,white,continuous,1,left,right,8,29.779,on,light,300,white,continuous
38,600,END,0,3,amber,flashing,2,left,right,8,29.779,on,light,300,amber,flashing
39,600,END,0,4,blue,flashing,2,right,left,8,29.779,on,control,300,blue,flashing
40,600,END,0,5,green,flashing,2,left,right,8,29.779,on,light,300,green,flashing
41,600,END,0,1,red,flashing,2,left,right,8,29.779,on,light,300,red,flashing
42,600,END,0,6,royalblue,flashing,2,right,left,8,29.779,on,control,300,royalblue,flashing
43,600,END,0,2,white,flashing,2,right,left,8,29.779,on,control,300,white,flashing
44,600,END,0,5,amber,continuous,1,left,right,10,40.651,on,light,300,amber,continuous
45,600,END,0,3,red,continuous,1,left,right,10,40.651,on,light,300,red,continuous
46,600,END,0,4,royalblue,continuous,1,right,left,10,40.651,on,control,300,royalblue,continuous
47,600,END,0,6,white,continuous,1,right,left,10,40.651,on,control,300,white,continuous
48,600,END,0,3,amber,flashing,2,left,right,10,40.651,on,light,300,amber,flashing
49,600,END,0,5,blue,flashing,2,left,right,10,40.651,on,light,300,blue,flashing
50,600,END,0,5,royalblue,flashing,2,right,left,10,40.651,on,control,300,royalblue,flashing
51,600,END,0,4,white,flashing,2,right,left,10,40.651,on,control,300,white,flashing
52,599.324,END,0,2,green,continuous,1,left,right,13,32.721,on,control,300,green,continuous
53,600,END,0,5,amber,flashing,2,right,left,13,32.721,on,control,300,amber,flashing
54,600,END,0,4,green,flashing,2,left,right,13,32.721,on,light,300,green,flashing
55,600,END,0,3,royalblue,flashing,2,right,left,13,32.721,on,control,300,royalblue,flashing
56,600,END,0,6,white,flashing,2,left,right,13,32.721,on,light,300,white,flashing
