time,code,class,light_order,light_colour,light_type,type_order,light_side,control_side,trial_number,length,light_mode,total,total2,control_light,sum(total2),LightFact,TypeFact
300,MIDDLE,4,1,red,flashing,1,right,left,3,37.724,off,101.982,22.615,control,165.448,off,off
300,MIDDLE,4,6,royalblue,flashing,1,left,right,3,37.724,off,123.849,127.416,control,127.416,off,off
300,MIDDLE,4,1,blue,continuous,2,right,left,5,29.061,off,0,300,control,300,off,off
300,MIDDLE,4,4,green,flashing,1,left,right,5,29.061,off,56.732,45.733,control,45.733,off,off
300,MIDDLE,4,3,royalblue,continuous,2,right,left,5,29.061,off,108.532,39.001,control,168.868,off,off
300,MIDDLE,4,1,blue,flashing,2,right,left,13,32.721,off,70.433,94.301,control,229.567,off,off
300,MIDDLE,8,6,white,continuous,1,left,right,13,32.721,off,88.467,65.767,control,88.467,off,off
84.766,stationary_control_stop,8,3,white,flashing,1,right,left,3,37.724,off,16.632,16.632,control,16.632,off,off
204.6,stationary_control_stop,8,6,amber,flashing,1,left,right,5,29.061,off,84.765,84.765,control,113.168,off,off
166.935,stationary_control_stop,8,5,red,flashing,1,right,left,5,29.061,off,166.935,166.935,control,166.935,off,off
42.567,stationary_control_stop,8,2,blue,continuous,1,right,left,10,40.651,off,42.567,42.567,control,42.567,off,off
146.899,stationary_control_stop,8,1,green,continuous,1,left,right,10,40.651,off,146.899,146.899,control,146.899,off,off
152.934,stationary_control_stop,8,2,green,flashing,2,right,left,10,40.651,off,152.934,152.934,control,152.934,off,off
212.233,stationary_control_stop,8,1,red,flashing,2,left,right,10,40.651,off,212.233,212.233,control,212.233,off,off
198.666,stationary_control_stop,8,1,amber,continuous,1,right,left,13,32.721,off,198.666,198.666,control,198.666,off,off
292.934,stationary_control_stop,8,4,blue,continuous,1,left,right,13,32.721,off,56.867,56.867,control,56.867,off,off
77.333,stationary_control_stop,8,3,royalblue,continuous,1,right,left,13,32.721,off,77.333,77.333,control,138.802,off,off
300,MIDDLE,2,2,blue,continuous,2,left,right,3,37.724,off,0,33.583,light,33.583,off,off
300,MIDDLE,1,6,amber,flashing,1,left,right,5,29.061,off,43.199,13.798,light,113.134,off,off
300,MIDDLE,2,4,green,continuous,2,left,right,5,29.061,off,15.401,98,light,284.599,off,off
300,MIDDLE,4,4,green,flashing,1,left,right,5,29.061,off,56.732,45.733,light,243.268,off,off
300,MIDDLE,2,6,red,continuous,2,left,right,5,29.061,off,93.766,64.901,light,181.434,off,off
300,MIDDLE,2,1,amber,continuous,1,right,left,13,32.721,off,8.634,60.666,light,83.633,off,off
300,MIDDLE,2,6,red,continuous,1,right,left,13,32.721,off,0,300,light,300,off,off
300,MIDDLE,2,2,red,flashing,2,left,right,13,32.721,off,0,21.3,light,21.3,off,off
300,MIDDLE,2,3,royalblue,continuous,1,right,left,13,32.721,off,15.588,24.945,light,24.945,off,off
290.172,stationary_light_stop,6,1,red,continuous,2,right,left,3,37.724,off,247.866,247.866,light,247.866,off,off
48.735,stationary_light_stop,6,6,royalblue,flashing,1,left,right,3,37.724,off,48.735,48.735,light,48.735,off,off
129.968,stationary_light_stop,6,3,white,flashing,1,right,left,3,37.724,off,31.832,31.832,light,31.832,off,off
115.466,stationary_light_stop,6,5,amber,continuous,2,right,left,5,29.061,off,115.466,115.466,light,141.625,off,off
82.967,stationary_light_stop,6,1,blue,flashing,1,right,left,5,29.061,off,82.967,82.967,light,82.967,off,off
273.366,stationary_light_stop,6,2,white,continuous,2,left,right,5,29.061,off,24.382,24.382,light,24.382,off,off
213.867,stationary_light_stop,6,1,green,continuous,1,left,right,8,29.779,off,213.867,213.867,light,213.867,off,off
111,stationary_light_stop,6,6,white,continuous,1,left,right,13,32.721,off,111,111,light,111,off,off
600,END,0,6,royalblue,flashing,1,left,right,3,37.724,on,0,300,control,300,royalblue,flashing
600,END,0,5,amber,continuous,2,right,left,5,29.061,on,55.301,55.301,control,157.848,amber,continuous
600,END,0,1,blue,continuous,2,right,left,5,29.061,on,18.167,18.167,control,112.433,blue,continuous
600,END,0,5,red,flashing,1,right,left,5,29.061,on,59.231,59.231,control,59.231,red,flashing
600,END,0,3,royalblue,continuous,2,right,left,5,29.061,on,46.734,46.734,control,224.368,royalblue,continuous
600,END,0,2,blue,continuous,1,right,left,10,40.651,on,191.167,191.167,control,191.167,blue,continuous
600,END,0,2,green,flashing,2,right,left,10,40.651,on,15.167,15.167,control,77.433,green,flashing
323.8,stationary_control_stop,7,1,red,continuous,2,right,left,3,37.724,on,22.233,22.233,control,22.233,red,continuous
315.237,stationary_control_stop,7,1,red,flashing,1,right,left,3,37.724,on,0,15.237,control,46.857,red,flashing
444.936,stationary_control_stop,7,6,amber,flashing,1,left,right,5,29.061,on,22.535,22.535,control,22.535,amber,flashing
331.203,stationary_control_stop,7,4,green,flashing,1,left,right,5,29.061,on,0,31.203,control,31.203,green,flashing
420.866,stationary_control_stop,7,1,green,continuous,1,left,right,10,40.651,on,120.866,120.866,control,120.866,green,continuous
332.999,stationary_control_stop,7,4,blue,continuous,1,left,right,13,32.721,on,29.964,29.964,control,29.964,blue,continuous
470.933,stationary_control_stop,7,1,blue,flashing,2,right,left,13,32.721,on,0,170.933,control,170.933,blue,flashing
468.234,stationary_control_stop,7,6,red,continuous,1,right,left,13,32.721,on,31.268,31.268,control,79.701,red,continuous
354.199,stationary_control_stop,7,6,white,continuous,1,left,right,13,32.721,on,17.666,17.666,control,37.466,white,continuous
600,END,0,4,green,flashing,1,left,right,3,37.724,on,0,300,light,300,green,flashing
600,END,0,4,green,flashing,1,left,right,5,29.061,on,230.867,230.867,light,230.867,green,flashing
600,END,0,6,red,continuous,2,left,right,5,29.061,on,45.467,45.467,light,192.271,red,continuous
600,END,0,1,amber,continuous,1,right,left,13,32.721,on,0,300,light,300,amber,continuous
600,END,0,1,blue,flashing,2,right,left,13,32.721,on,26.633,26.633,light,26.633,blue,flashing
324.801,stationary_light_stop,5,2,blue,continuous,2,left,right,3,37.724,on,0,24.801,light,24.801,blue,continuous
325.301,stationary_light_stop,5,2,blue,flashing,1,left,right,3,37.724,on,19.283,19.283,light,19.283,blue,flashing
462.703,stationary_light_stop,5,1,red,continuous,2,right,left,3,37.724,on,58.736,58.736,light,58.736,red,continuous
340.868,stationary_light_stop,5,6,amber,flashing,1,left,right,5,29.061,on,0,40.868,light,137.172,amber,flashing
341.166,stationary_light_stop,5,4,green,continuous,2,left,right,5,29.061,on,0,41.166,light,96.599,green,continuous
383.269,stationary_light_stop,5,5,red,flashing,1,right,left,5,29.061,on,82.032,82.032,light,103.46,red,flashing
558.301,stationary_light_stop,5,3,royalblue,flashing,1,right,left,5,29.061,on,163.467,163.467,light,163.467,royalblue,flashing
320.368,stationary_light_stop,5,2,white,continuous,2,left,right,5,29.061,on,19.001,19.001,light,41.468,white,continuous
455.367,stationary_light_stop,5,1,green,continuous,1,left,right,10,40.651,on,18.467,18.467,light,18.467,green,continuous
456.567,stationary_light_stop,5,1,red,flashing,2,left,right,10,40.651,on,20.868,20.868,light,20.868,red,flashing
389.799,stationary_light_stop,5,6,red,continuous,1,right,left,13,32.721,on,0,89.799,light,89.799,red,continuous
355.499,stationary_light_stop,5,2,red,flashing,2,left,right,13,32.721,on,0,55.499,light,75.432,red,flashing
327.667,stationary_light_stop,5,3,royalblue,continuous,1,right,left,13,32.721,on,0,27.667,light,82.8,royalblue,continuous
