"","code","class","light_order","light_colour","light_type","type_order","light_side","control_side","species","trial_number","wing_length","mls","light_mode","control_light","LightFact","TypeFact","total_new"
"1","stationary_control",4,"1","amber","continuous","2","left","right","spotted","2",33.627,"under","off","control","off","off",300
"2","stationary_light",2,"1","amber","continuous","1","right","left","spotted","3",37.201,"under","off","light","off","off",300
"3","stationary_light",2,"3","blue","continuous","1","right","left","spotted","3",37.201,"under","off","light","off","off",300
"4","stationary_control",4,"2","green","continuous","1","left","right","spotted","3",37.201,"under","off","control","off","off",300
"5","stationary_control",4,"4","royalblue","continuous","1","left","right","spotted","3",37.201,"under","off","control","off","off",300
"6","stationary_light",2,"6","blue","flashing","2","right","left","spotted","3",37.201,"under","off","light","off","off",300
"7","stationary_light",2,"2","amber","continuous","1","right","left","spotted","4",32.184,"under","off","light","off","off",300
"8","stationary_control",4,"3","blue","continuous","1","left","right","spotted","4",32.184,"under","off","control","off","off",300
"9","stationary_control",4,"5","green","continuous","1","left","right","spotted","4",32.184,"under","off","control","off","off",300
"10","stationary_light",2,"6","red","continuous","1","right","left","spotted","4",32.184,"under","off","light","off","off",300
"11","stationary_light",2,"4","white","continuous","1","right","left","spotted","4",32.184,"under","off","light","off","off",300
"12","stationary_light",2,"6","red","flashing","2","left","right","spotted","4",32.184,"under","off","light","off","off",300
"13","stationary_control",4,"5","royalblue","flashing","2","right","left","spotted","4",32.184,"under","off","control","off","off",300
"14","stationary_light",2,"4","white","flashing","2","left","right","spotted","4",32.184,"under","off","light","off","off",300
"15","stationary_light",2,"4","amber","continuous","2","left","right","blonde","5",53.026,"over","off","light","off","off",300
"16","stationary_control",4,"2","red","continuous","2","right","left","blonde","5",53.026,"over","off","control","off","off",300
"17","stationary_control",4,"5","royalblue","continuous","2","right","left","blonde","5",53.026,"over","off","control","off","off",300
"18","stationary_light",2,"6","white","continuous","2","left","right","blonde","5",53.026,"over","off","light","off","off",300
"19","stationary_control",4,"6","green","flashing","1","left","right","blonde","5",53.026,"over","off","control","off","off",300
"20","stationary_control",4,"4","red","flashing","1","right","left","blonde","5",53.026,"over","off","control","off","off",300
"21","stationary_light",2,"4","amber","continuous","1","right","left","blonde","6",15.871,"under","off","light","off","off",300
"22","stationary_light",2,"6","green","continuous","1","right","left","blonde","6",15.871,"under","off","light","off","off",300
"23","stationary_control",4,"5","royalblue","continuous","1","left","right","blonde","6",15.871,"under","off","control","off","off",300
"24","stationary_control",4,"6","red","flashing","2","left","right","blonde","6",15.871,"under","off","control","off","off",300
"25","stationary_light",2,"4","royalblue","flashing","1","right","left","blonde","7",22.092,"under","off","light","off","off",300
"26","stationary_control",4,"5","white","flashing","1","left","right","blonde","7",22.092,"under","off","control","off","off",300
"27","stationary_control",4,"6","amber","continuous","1","right","left","blonde","8",23.02,"under","off","control","off","off",300
"28","stationary_light",2,"3","blue","continuous","1","left","right","blonde","8",23.02,"under","off","light","off","off",300
"29","stationary_control",4,"4","royalblue","continuous","1","right","left","blonde","8",23.02,"under","off","control","off","off",300
"30","stationary_light",2,"5","white","continuous","1","left","right","blonde","8",23.02,"under","off","light","off","off",300
"31","stationary_control",4,"5","blue","flashing","2","right","left","blonde","8",23.02,"under","off","control","off","off",300
"32","stationary_light",2,"4","red","flashing","2","left","right","blonde","8",23.02,"under","off","light","off","off",300
"33","stationary_light",2,"6","white","flashing","2","left","right","blonde","8",23.02,"under","off","light","off","off",300
"34","stationary_control",4,"4","blue","continuous","2","left","right","blonde","9",22.637,"under","off","control","off","off",300
"35","stationary_light",2,"3","red","continuous","2","right","left","blonde","9",22.637,"under","off","light","off","off",300
"36","stationary_light",2,"5","royalblue","continuous","2","right","left","blonde","9",22.637,"under","off","light","off","off",300
"37","stationary_control",4,"6","white","continuous","2","left","right","blonde","9",22.637,"under","off","control","off","off",300
"38","stationary_control",4,"4","amber","flashing","1","right","left","blonde","9",22.637,"under","off","control","off","off",300
"39","stationary_light",2,"3","blue","flashing","1","left","right","blonde","9",22.637,"under","off","light","off","off",300
"40","stationary_light",2,"5","green","flashing","1","left","right","blonde","9",22.637,"under","off","light","off","off",300
"41","stationary_control",4,"6","red","flashing","1","right","left","blonde","9",22.637,"under","off","control","off","off",300
"42","stationary_light",2,"1","royalblue","flashing","1","left","right","blonde","9",22.637,"under","off","light","off","off",300
"43","stationary_control",4,"2","white","flashing","1","right","left","blonde","9",22.637,"under","off","control","off","off",300
"44","stationary_light",2,"5","amber","continuous","2","left","right","spotted","10",33.765,"under","off","light","off","off",300
"45","stationary_light",2,"3","blue","continuous","2","left","right","spotted","10",33.765,"under","off","light","off","off",300
"46","stationary_control",4,"4","red","continuous","2","right","left","spotted","10",33.765,"under","off","control","off","off",300
"47","stationary_control",4,"6","white","continuous","2","right","left","spotted","10",33.765,"under","off","control","off","off",300
"48","stationary_light",2,"3","red","flashing","1","right","left","spotted","10",33.765,"under","off","light","off","off",300
"49","stationary_control",4,"4","royalblue","flashing","1","left","right","spotted","10",33.765,"under","off","control","off","off",300
