"","time","code","class","light_order","light_colour","light_type","type_order","light_side","control_side","species","trial_number","wing_length","mls","light_mode"
"1",71.933,"active",16,"1","blue","continuous",2,"right","left","spotted","2",33.627,"under","off"
"2",203.966,"active",22,"5","green","continuous",2,"right","left","spotted","2",33.627,"under","off"
"3",246.367,"active",16,"3","red","continuous",2,"right","left","spotted","2",33.627,"under","off"
"4",254.933,"active",28,"2","royalblue","continuous",2,"left","right","spotted","2",33.627,"under","off"
"5",125.433,"active",22,"4","white","continuous",2,"left","right","spotted","2",33.627,"under","off"
"6",61.367,"active",16,"2","amber","flashing",1,"right","left","spotted","2",33.627,"under","off"
"7",34.136,"active",24,"2","blue","flashing",1,"left","right","spotted","2",33.627,"under","off"
"8",42.499,"active",24,"6","green","flashing",1,"left","right","spotted","2",33.627,"under","off"
"9",48.301,"active",16,"1","red","flashing",1,"right","left","spotted","2",33.627,"under","off"
"10",67.433,"active",24,"4","white","flashing",1,"left","right","spotted","2",33.627,"under","off"
"11",62.166,"active",24,"4","amber","flashing",2,"left","right","blonde","6",15.871,"under","on"
"12",116.567,"active",28,"4","amber","flashing",2,"left","right","blonde","6",15.871,"under","off"
"13",14.4,"active",22,"1","blue","flashing",2,"right","left","blonde","6",15.871,"under","off"
"14",42.302,"active",22,"3","green","flashing",2,"right","left","blonde","6",15.871,"under","off"
"15",16.303,"active",24,"2","royalblue","flashing",2,"left","right","blonde","6",15.871,"under","off"
"16",4.172,"active",28,"1","green","continuous",1,"left","right","blonde","8",23.02,"under","off"
"17",49.133,"active",26,"2","royalblue","flashing",2,"left","right","blonde","8",23.02,"under","off"
"18",55.399,"active",10,"1","white","flashing",1,"right","left","spotted","10",33.765,"under","off"
"19",288.935,"active",22,"5","blue","continuous",1,"left","right","blonde","14",19.584,"under","off"
"20",149,"active",26,"3","green","continuous",1,"left","right","blonde","14",19.584,"under","off"
"21",292.122,"active",24,"1","royalblue","continuous",1,"left","right","blonde","14",19.584,"under","off"
"22",32.7,"active",14,"2","white","continuous",1,"right","left","blonde","14",19.584,"under","off"
"23",238.2,"active",28,"1","green","flashing",2,"left","right","blonde","14",19.584,"under","off"
"24",6.673,"active",22,"1","blue","continuous",2,"right","left","blonde","15",18.886,"under","off"
"25",100.366,"active",10,"2","white","continuous",2,"left","right","blonde","15",18.886,"under","off"
"26",62.934,"active",12,"1","royalblue","flashing",1,"right","left","blonde","15",18.886,"under","off"
"27",272.669,"active",26,"1","white","flashing",2,"left","right","blonde","16",16.53,"under","off"
"28",20.9,"active",16,"1","blue","continuous",2,"right","left","blonde","19",28.603,"under","off"
"29",125.366,"active",12,"3","green","continuous",2,"right","left","blonde","19",28.603,"under","off"
"30",56.2,"active",24,"4","white","continuous",2,"left","right","blonde","19",28.603,"under","off"
"31",90.5,"active",22,"5","blue","flashing",1,"right","left","blonde","19",28.603,"under","off"
"32",26.766,"active",22,"2","green","flashing",1,"left","right","blonde","19",28.603,"under","off"
"33",15.067,"active",26,"1","red","flashing",1,"right","left","blonde","19",28.603,"under","off"
"34",44.634,"active",26,"6","white","flashing",1,"left","right","blonde","19",28.603,"under","off"
"35",2.031,"active",22,"6","green","continuous",2,"right","left","blonde","24",24.916,"under","off"
"36",39.233,"active",24,"2","blue","flashing",1,"right","left","blonde","24",24.916,"under","off"
"37",126.596,"active",24,"1","green","flashing",1,"left","right","blonde","24",24.916,"under","off"
"38",362.066,"active",21,"1","blue","continuous",2,"right","left","spotted","2",33.627,"under","on"
"39",344.1,"active",21,"3","red","continuous",2,"right","left","spotted","2",33.627,"under","on"
"40",343.068,"active",23,"2","royalblue","continuous",2,"left","right","spotted","2",33.627,"under","on"
"41",316.741,"active",21,"2","amber","flashing",1,"right","left","spotted","2",33.627,"under","on"
"42",317.266,"active",15,"2","blue","flashing",1,"left","right","spotted","2",33.627,"under","on"
"43",335.499,"active",21,"6","green","flashing",1,"left","right","spotted","2",33.627,"under","on"
"44",363.966,"active",21,"1","red","flashing",1,"right","left","spotted","2",33.627,"under","on"
"45",331.734,"active",23,"4","white","flashing",1,"left","right","spotted","2",33.627,"under","on"
"46",420.133,"active",25,"1","blue","flashing",2,"right","left","blonde","6",15.871,"under","on"
"47",312.206,"active",21,"3","green","flashing",2,"right","left","blonde","6",15.871,"under","on"
"48",303.468,"active",17,"2","royalblue","flashing",2,"left","right","blonde","6",15.871,"under","on"
"49",387.168,"active",9,"1","green","continuous",1,"left","right","blonde","8",23.02,"under","on"
"50",305.838,"active",9,"2","royalblue","flashing",2,"left","right","blonde","8",23.02,"under","on"
"51",317.667,"active",25,"1","white","flashing",1,"right","left","spotted","10",33.765,"under","on"
"52",328.999,"active",21,"5","blue","continuous",1,"left","right","blonde","14",19.584,"under","on"
"53",366.666,"active",23,"3","green","continuous",1,"left","right","blonde","14",19.584,"under","on"
"54",386.334,"active",25,"1","royalblue","continuous",1,"left","right","blonde","14",19.584,"under","on"
"55",312.167,"active",21,"2","white","continuous",1,"right","left","blonde","14",19.584,"under","on"
"56",336.367,"active",25,"1","green","flashing",2,"left","right","blonde","14",19.584,"under","on"
"57",316.266,"active",25,"1","blue","continuous",2,"right","left","blonde","15",18.886,"under","on"
"58",303.8,"active",21,"2","white","continuous",2,"left","right","blonde","15",18.886,"under","on"
"59",361.699,"active",15,"1","royalblue","flashing",1,"right","left","blonde","15",18.886,"under","on"
"60",316.966,"active",23,"1","white","flashing",2,"left","right","blonde","16",16.53,"under","on"
"61",318,"active",21,"3","green","continuous",2,"right","left","blonde","19",28.603,"under","on"
"62",502.8,"active",21,"2","royalblue","continuous",2,"left","right","blonde","19",28.603,"under","on"
"63",362.3,"active",21,"4","white","continuous",2,"left","right","blonde","19",28.603,"under","on"
"64",383.734,"active",21,"5","blue","flashing",1,"right","left","blonde","19",28.603,"under","on"
"65",304.833,"active",13,"2","green","flashing",1,"left","right","blonde","19",28.603,"under","on"
"66",307.066,"active",23,"1","red","flashing",1,"right","left","blonde","19",28.603,"under","on"
"67",321.499,"active",23,"6","white","flashing",1,"left","right","blonde","19",28.603,"under","on"
"68",421.598,"active",25,"6","green","continuous",2,"right","left","blonde","24",24.916,"under","on"
"69",525.467,"active",21,"2","blue","flashing",1,"right","left","blonde","24",24.916,"under","on"
"70",299.866,"active",23,"1","green","flashing",1,"left","right","blonde","24",24.916,"under","on"
"71",602.766,"active",0,"5","green","continuous",2,"right","left","spotted","2",33.627,"under","on"
"72",600.1,"active",0,"4","white","continuous",2,"left","right","spotted","2",33.627,"under","on"
"73",601,"active",0,"1","blue","continuous",2,"right","left","blonde","19",28.603,"under","on"
"74",601,"active",0,"2","royalblue","continuous",2,"left","right","blonde","19",28.603,"under","off"
