"","time","code","class","light_order","light_colour","light_type","type_order","light_side","control_side","species","trial_number","wing_length","mls","light_mode"
"1",15.799,"stationary_light",2,"6","amber","continuous",2,"left","right","spotted","1",47.792,"over","off"
"2",51.333,"stationary_light_stop",6,"6","amber","continuous",2,"left","right","spotted","1",47.792,"over","off"
"5",254.899,"stationary_control",4,"6","amber","continuous",2,"left","right","spotted","1",47.792,"over","off"
"19",15.966,"stationary_control",4,"5","blue","continuous",2,"right","left","spotted","1",47.792,"over","off"
"20",142.8,"stationary_control_stop",8,"5","blue","continuous",2,"right","left","spotted","1",47.792,"over","off"
"21",195.399,"stationary_control",4,"5","blue","continuous",2,"right","left","spotted","1",47.792,"over","off"
"23",15.367,"stationary_control",4,"2","green","continuous",2,"right","left","spotted","1",47.792,"over","off"
"24",23.299,"stationary_control_stop",8,"2","green","continuous",2,"right","left","spotted","1",47.792,"over","off"
"30",15.799,"stationary_control",4,"3","red","continuous",2,"right","left","spotted","1",47.792,"over","off"
"31",33.938,"stationary_control_stop",8,"3","red","continuous",2,"right","left","spotted","1",47.792,"over","off"
"32",54.509,"stationary_control",4,"3","red","continuous",2,"right","left","spotted","1",47.792,"over","off"
"33",63.9,"stationary_control_stop",8,"3","red","continuous",2,"right","left","spotted","1",47.792,"over","off"
"36",205.765,"stationary_light",2,"3","red","continuous",2,"right","left","spotted","1",47.792,"over","off"
"37",227.666,"stationary_light_stop",6,"3","red","continuous",2,"right","left","spotted","1",47.792,"over","off"
"45",15.699,"stationary_control",4,"4","royalblue","continuous",2,"left","right","spotted","1",47.792,"over","off"
"46",96.438,"stationary_control_stop",8,"4","royalblue","continuous",2,"left","right","spotted","1",47.792,"over","off"
"53",47,"stationary_light",2,"1","white","continuous",2,"left","right","spotted","1",47.792,"over","off"
"54",93.499,"stationary_light_stop",6,"1","white","continuous",2,"left","right","spotted","1",47.792,"over","off"
"55",162.699,"stationary_light",2,"1","white","continuous",2,"left","right","spotted","1",47.792,"over","off"
